# GENERATED by TestFrozenRuleLeavesTwentyTwoRequirementCellsUnserved from the
# frozen requirement transcription EXECUTED against the live fact registry.
# DO NOT EDIT BY HAND: a test regenerates and diffs this file.
#
# A diff here is the measurement moving. That is not automatically bad --
# read the cause distribution at the foot and say what moved it.
#
# frame	obligation	role	subject	literal	charitable
Q1	health	subject	team	[health]	[health]
Q1	state	subject	team	[]	[]
Q1'	health	subject	project	[health]	[health]
Q1'	state	subject	project	[]	[]
Q2	health	member	team	[health]	[health]
Q2	principal_drivers	member	team	[flow health investment readiness workload]	[flow health investment readiness workload]
Q2	ranking	member	team	[]	[]
Q2	state	member	team	[]	[]
Q-A	health	member	project	[health]	[health]
Q-A	principal_drivers	member	project	[flow health investment readiness workload]	[flow health investment readiness workload]
Q-A	state	member	project	[]	[]
Q-A	state	group	team	[]	[]
Q-B	health	member	project	[health]	[health]
Q-B	state	member	project	[]	[]
C1	health	member	project	[health]	[health]
C1	state	member	project	[]	[]
C1	trend_series	member	project	[flow health readiness workload]	[flow health readiness workload]
C1	state	group	team	[]	[]
C2	allocation_breakdown	subject(operand)	team	[]	[]
C2	state	subject(operand)	team	[]	[]
C3	period_delta	member	project	[flow]	[flow]
C3	principal_drivers	member	project	[flow]	[flow]
C3	state	member	project	[]	[]
C3	state	group	team	[]	[]
C4	health	member	team	[health]	[health]
C4	ranking	member	team	[]	[]
C4	state	member	team	[]	[]
C5	count	subject(anchor)	repository	[]	[]
C6	allocation_breakdown	subject(operand)	team	[]	[]
C6	state	subject(operand)	team	[]	[]
C6	trend_series	subject(operand)	team	[]	[]
C7	count	subject(org)	organization	[]	[]
B5	health	subject	organization	[]	[]
B5	state	subject	organization	[]	[]
#
# cells evaluated: 34
# EMPTY cells: 22
# cause allocation_breakdown/table_shape_undeclared: 2
# cause count/subject_kind_unsupported: 2
# cause health/subject_kind_unsupported: 1
# cause ranking/table_shape_undeclared: 2
# cause state/subject_kind_unsupported: 14
# cause trend_series/table_shape_undeclared: 1
